srrecordid,servicerequestnum,srtype,methodreceived,createddate,srstatus,statusdate,duedate,agency,lastactivity,address,zipcode,neighborhood,councildistrict,policedistrict,geolocation.latitude,geolocation.longitude,geolocation.human_address,lastactivitydate,outcome,closedate,crimedate,crimetime,crimecode,location,description,inside_outside,weapon,post,district,neighborhood.1,premise,total_incidents,vri_name1,geometry
5004M00000fWbAUQA0,20-00624828,SW-HGW,API,2020-09-11T13:18:52Z,Open,2020-09-11T13:18:52Z,2020-10-26T13:18:52Z,Solid Waste,Service Response,"1644 CARSWELL ST, Baltimore City, 21218",21218,COLDSTREAM HOMESTEAD MONTEBELLO,14,Northeastern,39.321740968430326,-76.59371357391173,NA,NA,NA,NA,2020-10-31,17:20:00,9S,1600 ABBOTSTON ST,SHOOTING,Outside,FIREARM,411,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,STREET,1,NA,"c(-76.5937135739117, 39.3217409684303)"
5004M00000fWbJzQAK,20-00624884,SW-HGW,API,2020-09-11T13:28:30Z,Open,2020-09-11T13:28:30Z,2020-10-26T13:28:30Z,Solid Waste,Service Response,"1638 CARSWELL ST, Baltimore City, 21218",21218,COLDSTREAM HOMESTEAD MONTEBELLO,14,Northeastern,39.321830612989075,-76.59384073659298,NA,NA,NA,NA,2020-10-31,17:20:00,9S,1600 ABBOTSTON ST,SHOOTING,Outside,FIREARM,411,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,STREET,1,NA,"c(-76.593840736593, 39.3218306129891)"
5004M00000fX0bzQAC,20-00636128,SW-HGW,API,2020-09-16T15:03:21Z,Open,2020-09-16T15:03:21Z,2020-10-29T15:03:21Z,Solid Waste,Service Response,"1635 ABBOTSTON ST, Baltimore City, 21218",21218,COLDSTREAM HOMESTEAD MONTEBELLO,14,Northeastern,39.32233818774763,-76.5938844015187,NA,NA,NA,NA,2020-10-31,17:20:00,9S,1600 ABBOTSTON ST,SHOOTING,Outside,FIREARM,411,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,STREET,1,NA,"c(-76.5938844015187, 39.3223381877476)"
5004M00000fYgfPQAS,20-00682439,SW-HGW,API,2020-10-05T17:53:33Z,Open,2020-10-05T17:53:33Z,2020-11-19T17:53:33Z,Solid Waste,Service Response,"1554 CARSWELL ST, Baltimore City, 21218",21218,COLDSTREAM HOMESTEAD MONTEBELLO,14,Northeastern,39.32279615493499,-76.59544964026364,NA,NA,NA,NA,2020-10-31,17:20:00,9S,1600 ABBOTSTON ST,SHOOTING,Outside,FIREARM,411,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,STREET,1,NA,"c(-76.5954496402636, 39.322796154935)"
5004M00000fYgNGQA0,20-00682245,SW-HGW,API,2020-10-05T17:13:15Z,Open,2020-10-05T17:13:15Z,2020-11-19T17:13:15Z,Solid Waste,Service Response,"1542 CARSWELL ST, Baltimore City, 21218",21218,COLDSTREAM HOMESTEAD MONTEBELLO,14,Northeastern,39.322955748348654,-76.59570604582795,NA,NA,NA,NA,2020-10-31,17:20:00,9S,1600 ABBOTSTON ST,SHOOTING,Outside,FIREARM,411,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,STREET,1,NA,"c(-76.595706045828, 39.3229557483487)"
5004M00000fYhLfQAK,20-00682881,SW-HGW,API,2020-10-05T19:13:30Z,Open,2020-10-05T19:13:30Z,2020-11-19T19:13:30Z,Solid Waste,Service Response,"1547 CARSWELL ST, Baltimore City, 21218",21218,COLDSTREAM HOMESTEAD MONTEBELLO,14,Northeastern,39.322567743810644,-76.59563719776949,NA,NA,NA,NA,2020-10-31,17:20:00,9S,1600 ABBOTSTON ST,SHOOTING,Outside,FIREARM,411,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,STREET,1,NA,"c(-76.5956371977695, 39.3225677438106)"
5004M00000fYhDWQA0,20-00682803,SW-HGW,API,2020-10-05T18:53:51Z,Open,2020-10-05T18:53:51Z,2020-11-19T18:53:50Z,Solid Waste,Service Response,"1531 CARSWELL ST, Baltimore City, 21218",21218,COLDSTREAM HOMESTEAD MONTEBELLO,14,Northeastern,39.322817798414,-76.59603141808293,NA,NA,NA,NA,2020-10-31,17:20:00,9S,1600 ABBOTSTON ST,SHOOTING,Outside,FIREARM,411,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,STREET,1,NA,"c(-76.5960314180829, 39.322817798414)"
5004M00000fYhIMQA0,20-00682843,SW-HGW,API,2020-10-05T19:03:21Z,Open,2020-10-05T19:03:21Z,2020-11-19T19:03:21Z,Solid Waste,Service Response,"1545 CARSWELL ST, Baltimore City, 21218",21218,COLDSTREAM HOMESTEAD MONTEBELLO,14,Northeastern,39.32259252966347,-76.59567098035718,NA,NA,NA,NA,2020-10-31,17:20:00,9S,1600 ABBOTSTON ST,SHOOTING,Outside,FIREARM,411,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,STREET,1,NA,"c(-76.5956709803572, 39.3225925296635)"
5004M00000fYhJiQAK,20-00682977,SW-HGW,API,2020-10-05T19:33:47Z,Open,2020-10-05T19:33:47Z,2020-11-19T19:33:47Z,Solid Waste,Service Response,"1563 CARSWELL ST, Baltimore City, 21218",21218,COLDSTREAM HOMESTEAD MONTEBELLO,14,Northeastern,39.32236539866331,-76.59530941148722,NA,NA,NA,NA,2020-10-31,17:20:00,9S,1600 ABBOTSTON ST,SHOOTING,Outside,FIREARM,411,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,STREET,1,NA,"c(-76.5953094114872, 39.3223653986633)"
5004M00000fYokeQAC,20-00685530,SW-Cleaning,API,2020-10-06T18:13:09Z,Open,2020-10-06T18:13:09Z,2020-11-20T18:13:09Z,Solid Waste,Service Response,"1604 CARSWELL ST, Baltimore City, 21218",21218,COLDSTREAM HOMESTEAD MONTEBELLO,14,Northeastern,39.32223824149983,-76.5945725537956,NA,NA,NA,NA,2020-10-31,17:20:00,9S,1600 ABBOTSTON ST,SHOOTING,Outside,FIREARM,411,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,STREET,1,NA,"c(-76.5945725537956, 39.3222382414998)"
