srrecordid,servicerequestnum,srtype,methodreceived,createddate,srstatus,statusdate,duedate,agency,lastactivity,address,zipcode,neighborhood,councildistrict,policedistrict,geolocation.latitude,geolocation.longitude,geolocation.human_address,lastactivitydate,outcome,closedate,crimedate,crimetime,crimecode,location,description,inside_outside,weapon,post,district,neighborhood.1,premise,vri_name1,total_incidents,geometry
5004M00000e0NrtQAE,20-00403652,SW-HGW,API,2020-07-01T19:44:05Z,Open,2020-07-01T19:44:05Z,2020-08-13T19:44:05Z,Solid Waste,Service Response,"21 S CAREY ST, Baltimore City, 21223",21223,HOLLINS MARKET,9,Southern,39.28787480021545,-76.6379352543314,NA,NA,NA,NA,2020-12-05,15:33:00,9S,0 S CAREY ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,Tri-District,1,"c(-76.6379352543314, 39.2878748002154)"
5004M00000e0O6oQAE,20-00403856,SW-HGW,API,2020-07-01T20:14:36Z,Open,2020-07-01T20:14:36Z,2020-08-13T20:14:36Z,Solid Waste,Service Response,"13 S CAREY ST, Baltimore City, 21223",21223,HOLLINS MARKET,9,Southern,39.28801435030534,-76.63794792866442,NA,NA,NA,NA,2020-12-05,15:33:00,9S,0 S CAREY ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,Tri-District,1,"c(-76.6379479286644, 39.2880143503053)"
5004M00000epAUrQAM,20-00580484,SW-HGW,API,2020-08-26T15:08:10Z,Open,2020-08-26T15:08:10Z,2020-10-08T15:08:10Z,Solid Waste,Service Response,"12 S CALHOUN ST, Baltimore City, 21223",21223,UNION SQUARE,9,Southern,39.28788635995758,-76.63967975460497,NA,NA,NA,NA,2020-12-05,15:33:00,9S,0 S CAREY ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,Tri-District,1,"c(-76.639679754605, 39.2878863599576)"
5004M00000epCa4QAE,20-00582062,SW-HGW,API,2020-08-26T19:04:02Z,Open,2020-08-26T19:04:02Z,2020-10-08T19:04:02Z,Solid Waste,Service Response,"15 S CAREY ST, Baltimore City, 21223",21223,HOLLINS MARKET,9,Southern,39.28797760191268,-76.63791817129481,NA,NA,NA,NA,2020-12-05,15:33:00,9S,0 S CAREY ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,Tri-District,1,"c(-76.6379181712948, 39.2879776019127)"
5004M00000epSTYQA2,20-00590751,SW-HGW,API,2020-08-28T19:03:22Z,Open,2020-08-28T19:03:22Z,2020-10-13T19:03:22Z,Solid Waste,Service Response,"1400 HOLLINS ST, Baltimore City, 21223",21223,UNION SQUARE,9,Southern,39.28764872035175,-76.63965969472787,NA,NA,NA,NA,2020-12-05,15:33:00,9S,0 S CAREY ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,Tri-District,1,"c(-76.6396596947279, 39.2876487203517)"
5004M00000fX9jTQAS,20-00640435,SW-Cleaning,API,2020-09-17T18:43:18Z,Open,2020-09-17T18:43:18Z,2020-10-30T18:43:18Z,Solid Waste,Service Response,"1219 HOLLINS ST, Baltimore City, 21223",21223,HOLLINS MARKET,9,Southern,39.287414896288475,-76.63749435638618,NA,NA,NA,NA,2020-12-05,15:33:00,9S,0 S CAREY ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,Tri-District,1,"c(-76.6374943563862, 39.2874148962885)"
5004M00000fYp6kQAC,20-00685731,SW-HGW,API,2020-10-06T19:03:20Z,Open,2020-10-06T19:03:20Z,2020-11-20T19:03:20Z,Solid Waste,Service Response,"1314 W BALTIMORE ST, Baltimore City, 21223",21223,FRANKLIN SQUARE,9,Western,39.28871667775053,-76.63892405094711,NA,NA,NA,NA,2020-12-05,15:33:00,9S,0 S CAREY ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,Tri-District,1,"c(-76.6389240509471, 39.2887166777505)"
5004M00000fYp7iQAC,20-00685743,SW-HGW,API,2020-10-06T19:04:39Z,Open,2020-10-06T19:04:39Z,2020-11-20T19:04:39Z,Solid Waste,Service Response,"1316 W BALTIMORE ST, Baltimore City, 21223",21223,FRANKLIN SQUARE,9,Western,39.28869544534588,-76.63898935659296,NA,NA,NA,NA,2020-12-05,15:33:00,9S,0 S CAREY ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,Tri-District,1,"c(-76.638989356593, 39.2886954453459)"
5004M00000fYpO0QAK,20-00685921,SW-HGW,API,2020-10-06T19:43:14Z,Open,2020-10-06T19:43:14Z,2020-11-20T19:43:14Z,Solid Waste,Service Response,"1318 W BALTIMORE ST, Baltimore City, 21223",21223,FRANKLIN SQUARE,9,Western,39.28862914925913,-76.63904353012434,NA,NA,NA,NA,2020-12-05,15:33:00,9S,0 S CAREY ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,Tri-District,1,"c(-76.6390435301243, 39.2886291492591)"
5004M00000gAJouQAG,20-00783326,SW-Cleaning,API,2020-11-18T16:48:10Z,Open,2020-11-18T16:48:10Z,2021-01-01T16:48:10Z,Solid Waste,Service Response,"8 S CALHOUN ST, Baltimore City, 21223",21223,UNION SQUARE,9,Southern,39.28797697288614,-76.63968246383331,NA,NA,NA,NA,2020-12-05,15:33:00,9S,0 S CAREY ST,SHOOTING,Outside,FIREARM,711,WESTERN,FRANKLIN SQUARE,STREET,Tri-District,1,"c(-76.6396824638333, 39.2879769728861)"
